personid,post,performance,age,tenure,grosswage,children,bedroom,commute,men,married,wfh
25094,1,-.24372138,25,33,3.0681798,0,yes,140,0,0,0
25520,0,-.76568514,24,32,3.6391969,0,yes,60,1,0,1
25520,1,-.7363379,24,32,3.6391969,0,yes,60,1,0,1
25532,0,-.44592518,25,32,3.3970912,0,yes,180,1,0,1
25532,1,-.34203726,25,32,3.3970912,0,yes,180,1,0,1
25620,0,-.56090474,23,32,2.8754656,0,yes,90,1,0,0
25620,1,-1.0874932,23,32,2.8754656,0,yes,90,1,0,0
25622,0,.062071014,20,32,2.8584857,0,yes,80,0,0,0
25622,1,-.24733199,20,32,2.8584857,0,yes,80,0,0,0
25628,0,.70293033,24,32,3.0696712,0,yes,120,0,0,1
25628,1,.98725742,24,32,3.0696712,0,yes,120,0,0,1
25638,0,.044456609,26,32,2.7953246,0,yes,120,0,0,1
25638,1,-.11875881,26,32,2.7953246,0,yes,120,0,0,1
25700,0,-.7591874,27,32,3.1886568,0,yes,30,1,0,1
25700,1,-.7827912,27,32,3.1886568,0,yes,30,1,0,1
25940,0,.52405357,24,31,3.5226889,0,yes,100,0,1,1
25940,1,-.68818724,24,31,3.5226889,0,yes,100,0,1,1
25962,0,-.23957241,24,31,3.6365478,1,yes,80,1,1,1
25962,1,-.32238331,24,31,3.6365478,1,yes,80,1,1,1
26328,0,-1.2317928,22,31,3.6299655,0,no,30,1,0,1
26328,1,-1.045475,22,31,3.6299655,0,no,30,1,0,1
26618,0,-.78081286,24,30,3.6763389,0,yes,40,1,0,1
26618,1,-1.0995302,24,30,3.6763389,0,yes,40,1,0,1
26934,0,.34132719,24,30,3.4246302,0,yes,120,0,0,1
26934,1,.75511724,24,30,3.4246302,0,yes,120,0,0,1
27180,0,.79352915,23,29,3.6185167,0,yes,80,0,1,0
27180,1,-.19891565,23,29,3.6185167,0,yes,80,0,1,0
27234,0,1.1949934,24,29,3.5235732,0,yes,60,1,0,0
27234,1,.86512506,24,29,3.5235732,0,yes,60,1,0,0
27540,0,-1.50455,27,29,3.0060413,0,yes,90,0,0,0
27540,1,-1.3426915,27,29,3.0060413,0,yes,90,0,0,0
27772,0,-.24208914,24,28,3.3379233,0,yes,100,0,0,0
27772,1,.89784259,24,28,3.3379233,0,yes,100,0,0,0
27844,0,-1.1490374,25,28,4.1549602,0,yes,30,0,0,0
27844,1,-1.3579067,25,28,4.1549602,0,yes,30,0,0,0
28204,0,.44121015,22,27,2.4714944,0,yes,180,1,0,0
28204,1,-.55526429,22,27,2.4714944,0,yes,180,1,0,0
28226,0,-.97182977,23,27,2.3416898,0,yes,120,1,0,1
28226,1,-.85774118,23,27,2.3416898,0,yes,120,1,0,1
28470,0,-.55329293,24,27,3.0680244,0,yes,60,1,0,1
28470,1,.4146339,24,27,3.0680244,0,yes,60,1,0,1
28492,0,-.92371774,24,27,4.2266932,0,yes,40,0,0,1
28492,1,-1.1527623,24,27,4.2266932,0,yes,40,0,0,1
28528,0,.81558359,27,27,4.6637621,1,yes,30,0,1,0
28528,1,.49685588,27,27,4.6637621,1,yes,30,0,1,0
28656,0,-.5951643,23,26,2.2167034,0,yes,120,0,1,0
28656,1,-1.2852476,23,26,2.2167034,0,yes,120,0,1,0
